,Unnamed: 0,State,County,Latitude,Longitude,AvgPop,state_abbr
1229,1229,Iowa,Shelby,41.675546153846156,-95.33753846153844,588.2307692307693,IA
1230,1230,Ohio,Shelby,40.34860000000001,-84.21403333333333,3146.0,OH
1231,1231,Missouri,Shelby,39.780566666666665,-92.06721666666668,540.8333333333334,MO
1232,1232,Kentucky,Shelby,38.25806666666667,-85.23136666666666,8995.666666666666,KY
1233,1233,Texas,Newton,30.77013333333333,-93.70676666666668,1144.0,TX
1234,1234,Arkansas,Newton,36.05565,-93.0704,399.5,AR
1235,1235,Georgia,Newton,33.56816,-83.80868000000001,3787.0,GA
1236,1236,Indiana,Newton,40.94072857142857,-87.36907142857143,1464.7142857142858,IN
1237,1237,Missouri,Newton,36.95202105263159,-94.3748105263158,1116.3157894736842,MO
1238,1238,Mississippi,Newton,32.40648333333333,-89.10136666666666,1401.166666666667,MS
1239,1239,Texas,Burleson,30.4558,-96.56626666666666,2066.0,TX
1240,1240,Texas,Potter,35.23015,-101.89145,103126.5,TX
1241,1241,Pennsylvania,Potter,41.809125,-77.97834999999998,868.875,PA
1242,1242,South Dakota,Potter,45.13115000000001,-99.77795,394.5,SD
1243,1243,Texas,Young,33.22036666666667,-98.69329999999998,4161.0,TX
1244,1244,Texas,Kendall,29.8779,-98.81645,9820.0,TX
1245,1245,Illinois,Kendall,41.60514444444445,-88.46933333333334,8599.444444444445,IL
1246,1246,Texas,Delta,33.4049,-95.77155,1084.5,TX
1247,1247,Colorado,Delta,38.8064,-107.81476666666669,2856.833333333333,CO
1248,1248,Michigan,Delta,45.79096666666667,-86.89283333333331,8388.0,MI
1249,1249,Texas,Tom Green,31.458275,-100.53285,25911.25,TX
1250,1250,Texas,Trinity,30.979766666666666,-95.27530000000002,1903.666666666667,TX
1251,1251,California,Trinity,40.70875,-123.13496666666668,862.3333333333335,CA
1252,1252,Texas,Colorado,29.672725000000003,-96.563125,2713.75,TX
1253,1253,Texas,Garza,33.1911,-101.3814,5070.0,TX
1254,1254,Texas,Gonzales,29.437,-97.53695,2857.5,TX
1255,1255,Texas,Haskell,33.27188,-99.79984,839.0,TX
1256,1256,Oklahoma,Haskell,35.22201428571429,-95.08705714285715,711.1428571428571,OK
1257,1257,Kansas,Haskell,37.45995,-100.9173,1265.5,KS
1258,1258,Texas,Mills,31.50325,-98.61965,1019.5,TX
1259,1259,Iowa,Mills,41.0628375,-95.59829999999998,1109.5,IA
1260,1260,Texas,Frio,28.881950000000003,-99.06746666666668,2916.0,TX
1261,1261,Texas,DeWitt,29.0756,-97.388275,4491.5,TX
1262,1262,Texas,Culberson,31.0407,-104.834,1919.0,TX
1263,1263,Texas,Coryell,31.37916,-97.79798000000001,9192.0,TX
1264,1264,Texas,Sutton,30.5707,-100.6423,3062.0,TX
1265,1265,Texas,Motley,33.9571,-100.8386,430.5,TX
1266,1266,Texas,Terry,33.1868,-102.3021,3452.666666666666,TX
1267,1267,Texas,Ward,31.519216666666665,-103.05681666666668,1702.833333333333,TX
1268,1268,North Dakota,Ward,48.25500625,-101.51363125000003,3834.3125,ND
1269,1269,Texas,Hudspeth,31.46733333333333,-105.4613,858.0,TX
1270,1270,Texas,Hopkins,33.16495,-95.62215,4135.5,TX
1271,1271,Kentucky,Hopkins,37.27527,-87.5252,3267.6,KY
1272,1272,Texas,Hemphill,35.9097,-100.3839,2977.0,TX
1273,1273,Texas,Erath,32.15115,-98.2798,11947.5,TX
1274,1274,Texas,Howard,32.23105,-101.3764,7643.0,TX
1275,1275,Nebraska,Howard,41.2054125,-98.5350375,430.125,NE
1276,1276,Arkansas,Howard,33.939125,-93.921925,1713.25,AR
1277,1277,Indiana,Howard,40.453,-86.1211,27783.66666666667,IN
1278,1278,Iowa,Howard,43.35631666666666,-92.30783333333332,940.6666666666665,IA
1279,1279,Maryland,Howard,39.18246666666667,-76.84805555555556,29556.66666666667,MD
1280,1280,Missouri,Howard,39.13456,-92.74498,1044.8,MO
1281,1281,Texas,Lipscomb,36.33552,-100.25924,563.8,TX
1282,1282,Texas,Gaines,32.859199999999994,-102.5436,3618.0,TX
1283,1283,Texas,Hockley,33.5738,-102.27265,2914.5,TX
1284,1284,Texas,Somervell,32.2461,-97.7441,2627.0,TX
1285,1285,Texas,Oldham,35.35093333333333,-102.44903333333332,524.6666666666666,TX
1286,1286,Kentucky,Oldham,38.377125,-85.4980125,3058.875,KY
1287,1287,Texas,Hartley,35.78664999999999,-102.36275,439.5,TX
1288,1288,Texas,Scurry,32.674949999999995,-100.8318,6079.0,TX
1289,1289,Texas,Coleman,31.8519,-99.45763333333332,1736.333333333333,TX
1290,1290,Texas,Wilson,29.200650000000003,-98.082375,3083.75,TX
1291,1291,North Carolina,Wilson,35.69150000000001,-77.91215714285714,7721.0,NC
1292,1292,Tennessee,Wilson,36.17106,-86.41752,15859.4,TN
1293,1293,Kansas,Wilson,37.581857142857146,-95.77728571428571,774.1428571428571,KS
1294,1294,Texas,San Jacinto,30.644919999999995,-95.15655999999998,992.2,TX
1295,1295,Texas,Donley,34.946266666666666,-100.81963333333331,818.6666666666665,TX
1296,1296,Texas,Callahan,32.324775,-99.315425,1626.25,TX
1297,1297,Texas,Runnels,31.76553333333333,-100.0235,2293.6666666666665,TX
1298,1298,Texas,Bowie,33.43886,-94.26366,10204.9,TX
1299,1299,Texas,Parmer,34.51353333333333,-102.8817,2339.333333333333,TX
1300,1300,Texas,Crosby,33.6635,-101.3861,1567.0,TX
1301,1301,Texas,Winkler,31.80425,-103.12325,3598.5,TX
1302,1302,Texas,Van Zandt,32.57776666666667,-95.79396666666668,1897.333333333333,TX
1303,1303,Texas,Upton,31.1789,-102.0797,1453.5,TX
1304,1304,Texas,Fisher,32.8,-100.42245,1042.0,TX
1305,1305,Texas,Panola,32.1413,-94.38693333333332,2476.6666666666665,TX
1306,1306,Mississippi,Panola,34.34384,-89.93336,2121.8,MS
1307,1307,Texas,Jasper,30.76115,-93.98735,2543.1666666666665,TX
1308,1308,Illinois,Jasper,39.04807142857143,-88.12234285714285,544.1428571428571,IL
1309,1309,Georgia,Jasper,33.3541,-83.63735,1385.5,GA
1310,1310,Indiana,Jasper,40.99976,-87.14694,2722.2,IN
1311,1311,Iowa,Jasper,41.66779999999999,-93.06516153846155,1918.9230769230771,IA
1312,1312,Missouri,Jasper,37.17228181818182,-94.38395,6092.227272727273,MO
1313,1313,Mississippi,Jasper,32.016225,-89.191025,700.75,MS
1314,1314,South Carolina,Jasper,32.381550000000004,-80.9748,5659.0,SC
1315,1315,Texas,Hansford,36.17346666666667,-101.36113333333331,1514.0,TX
1316,1316,Texas,Comanche,31.95253333333333,-98.514,2167.333333333333,TX
1317,1317,Oklahoma,Comanche,34.63232000000001,-98.46109,10167.5,OK
1318,1318,Kansas,Comanche,37.2646,-99.34296666666668,437.33333333333326,KS
1319,1319,Texas,Brooks,27.16032,-98.1157,1076.2,TX
1320,1320,Georgia,Brooks,30.895966666666666,-83.59953333333333,1595.666666666667,GA
1321,1321,Texas,Sherman,36.41565,-101.93485,1206.5,TX
1322,1322,Nebraska,Sherman,41.178059999999995,-98.9649,325.2,NE
1323,1323,Kansas,Sherman,39.3428,-101.87575,2312.5,KS
1324,1324,Oregon,Sherman,45.55808,-120.75943999999998,234.4,OR
1325,1325,Texas,San Augustine,31.41735,-94.19035,1040.0,TX
1326,1326,Texas,Karnes,28.89285,-97.871775,2802.25,TX
1327,1327,Texas,Coke,31.89055,-100.3905,1003.0,TX
1328,1328,Texas,Collingsworth,34.896075,-100.22695,571.0,TX
1329,1329,Texas,Camp,33.01415,-94.99755,2505.5,TX
1330,1330,Texas,Reeves,31.2337,-103.68136666666665,4657.333333333333,TX
1331,1331,Texas,Stephens,32.7566,-98.9125,5497.0,TX
1332,1332,Georgia,Stephens,34.523,-83.2402,3745.333333333334,GA
1333,1333,Oklahoma,Stephens,34.50279999999999,-97.8916625,3750.125,OK
1334,1334,Texas,Live Oak,28.3984,-98.1484,2262.0,TX
1335,1335,Texas,Real,29.6972,-99.88695,582.5,TX
1336,1336,Texas,Bandera,29.662433333333336,-99.0019,2567.333333333333,TX
1337,1337,Texas,Walker,30.6965,-95.4784,13726.333333333336,TX
1338,1338,Alabama,Walker,33.82434545454546,-87.32157272727272,2333.2727272727275,AL
1339,1339,Georgia,Walker,34.89635,-85.30991666666667,4507.333333333333,GA
1340,1340,Texas,Concho,31.363100000000006,-99.88465,795.0,TX
1341,1341,Texas,Ochiltree,36.3932,-100.7974,8681.0,TX
1342,1342,Texas,Rains,32.902566666666665,-95.85876666666668,1037.0,TX
1343,1343,Texas,Goliad,28.6708,-97.3916,1968.0,TX
1344,1344,Texas,Kerr,30.0585,-99.185,16001.0,TX
1345,1345,Texas,Llano,30.69661666666667,-98.46783333333332,2745.6666666666665,TX
1346,1346,Texas,Wheeler,35.395166666666654,-100.32023333333332,1181.6666666666667,TX
1347,1347,Nebraska,Wheeler,41.8321,-98.6156,106.0,NE
1348,1348,Georgia,Wheeler,32.16370000000001,-82.72534999999998,2056.0,GA
1349,1349,Oregon,Wheeler,44.8005,-120.0541,240.33333333333331,OR
